Time_ms id positions_x positions_z rotation_y is_signaling score
2360 0 0 0 265 0 0
2360 1 0 -98 0 0 0
2460 0 0 0 265 0 0
2460 1 0 -98 0 0 0
2560 0 0 0 265 0 0
2560 1 0 -98 0 0 0
2659 0 -1 0 265 0 0
2659 1 0 -98 0 0 0
2760 0 -1 0 265 0 0
2760 1 0 -98 0 0 0
2860 0 -1 0 265 0 0
2860 1 0 -98 0 0 0
2960 0 -2 0 265 0 0
2960 1 0 -98 0 0 0
3060 0 -2 0 265 0 0
3060 1 0 -98 0 0 0
3159 0 -2 0 265 0 0
3159 1 0 -98 0 0 0
3260 0 -3 0 265 0 0
3260 1 0 -98 0 0 0
3360 0 -3 0 265 0 0
3360 1 0 -98 0 0 0
3460 0 -3 0 265 0 0
3460 1 0 -98 0 0 0
3560 0 -4 0 54 0 0
3560 1 0 -98 0 0 0
3659 0 -3 0 54 0 0
3659 1 0 -98 0 0 0
3760 0 -3 0 116 0 0
3760 1 0 -98 0 0 0
3860 0 -3 0 116 0 0
3860 1 0 -98 0 0 0
3959 0 -2 0 116 0 0
3959 1 0 -98 0 0 0
4060 0 -2 0 116 0 0
4060 1 0 -98 0 0 0
4160 0 -2 0 116 0 0
4160 1 0 -98 0 0 0
4259 0 -1 0 116 0 0
4259 1 0 -98 0 0 0
4360 0 -1 0 116 0 0
4360 1 0 -98 0 0 0
4460 0 -1 -1 116 0 0
4460 1 0 -98 0 0 0
4560 0 0 -1 116 0 0
4560 1 0 -98 0 0 0
4660 0 0 -1 116 0 0
4660 1 0 -98 0 0 0
4759 0 0 -1 116 0 0
4759 1 0 -98 0 0 0
4859 0 0 -1 116 0 0
4859 1 0 -98 0 0 0
4960 0 0 -1 116 0 0
4960 1 0 -98 0 0 0
5060 0 0 -1 43 0 0
5060 1 0 -98 0 0 0
5160 0 0 -1 43 0 0
5160 1 0 -98 0 0 0
5259 0 0 -1 43 0 0
5259 1 0 -97 0 0 0
5359 0 1 -1 43 0 0
5359 1 0 -97 358 0 0
5460 0 1 0 43 0 0
5460 1 0 -96 353 0 0
5560 0 1 0 43 0 0
5560 1 0 -95 343 0 0
5660 0 1 0 43 0 0
5660 1 0 -95 330 0 0
5759 0 2 0 43 0 0
5759 1 0 -94 321 0 0
5859 0 2 0 43 0 0
5859 1 -1 -94 316 0 0
5960 0 2 0 43 0 0
5960 1 -1 -93 315 0 0
6060 0 2 0 43 0 0
6060 1 -2 -93 315 0 0
6160 0 3 0 43 0 0
6160 1 -2 -92 315 0 0
6259 0 3 1 43 0 0
6259 1 -3 -92 316 0 0
6359 0 3 1 43 0 0
