Time_ms id positions_x positions_z rotation_y is_signaling score
13679 0 -4 6 290 0 0
13679 1 72 -93 0 0 0
13779 0 -4 6 290 0 0
13779 1 72 -93 0 0 0
13880 0 -5 6 290 0 0
13880 1 72 -93 0 0 0
13880 2 120 29 0 0 0
13979 0 -5 6 290 0 0
13979 1 72 -93 0 0 0
13979 2 120 29 0 0 0
14079 0 -5 6 290 0 0
14079 1 72 -93 0 0 0
14079 2 120 29 0 0 0
14179 0 -6 6 290 0 0
14179 1 72 -93 0 0 0
14179 2 120 29 0 0 0
14279 0 -6 7 290 0 0
14279 1 72 -93 0 0 0
14279 2 120 29 0 0 0
14380 0 -6 7 290 0 0
14380 1 72 -93 0 0 0
14380 2 120 29 0 0 0
14479 0 -7 7 290 0 0
14479 1 72 -93 0 0 0
14479 2 120 29 0 0 0
14579 0 -7 7 290 0 0
14579 1 72 -93 0 0 0
14579 2 120 29 0 0 0
14679 0 -7 7 290 0 0
14679 1 72 -93 0 0 0
14679 2 120 29 0 0 0
14779 0 -8 7 290 0 0
14779 1 72 -93 0 0 0
14779 2 120 29 0 0 0
14880 0 -8 7 290 0 0
14880 1 72 -93 0 0 0
14880 2 120 29 0 0 0
14979 0 -8 7 290 0 0
14979 1 72 -93 0 0 0
14979 2 120 29 0 0 0
15079 0 -9 8 290 0 0
15079 1 72 -93 0 0 0
15079 2 120 29 0 0 0
15179 0 -9 8 290 0 0
15179 1 72 -93 0 0 0
15179 2 120 29 0 0 0
15279 0 -9 8 290 0 0
15279 1 72 -92 0 0 0
15279 2 120 29 0 0 0
15380 0 -10 8 290 0 0
15380 1 72 -92 0 0 0
15380 2 120 29 0 0 0
15479 0 -10 8 290 0 0
15479 1 72 -91 0 0 0
15479 2 120 29 0 0 0
15579 0 -10 8 290 0 0
15579 1 72 -90 0 0 0
15579 2 120 29 0 0 0
15679 0 -11 8 290 0 0
15679 1 72 -90 0 0 0
15679 2 120 29 0 0 0
15779 0 -11 8 290 0 0
15779 1 72 -89 0 0 0
15779 2 120 29 0 0 0
15880 0 -11 9 290 0 0
15880 1 72 -88 0 0 0
15880 2 120 29 0 0 0
15979 0 -12 9 290 0 0
15979 1 72 -88 0 0 0
15979 2 120 29 0 0 0
16079 0 -12 9 290 0 0
16079 1 72 -87 0 0 0
16079 2 120 29 0 0 0
16180 0 -12 9 290 0 0
16180 1 72 -86 357 0 0
16180 2 120 29 0 0 0
16279 0 -13 9 290 0 0
16279 1 72 -85 350 0 0
16279 2 120 29 0 0 0
16379 0 -13 9 290 0 0
16379 1 72 -85 343 0 0
16379 2 120 29 0 0 0
16479 0 -13 9 290 0 0
16479 1 71 -84 342 0 0
16479 2 120 29 0 0 0
16579 0 -14 9 290 0 0
16579 1 71 -83 342 0 0
16579 2 120 29 0 0 0
16680 0 -14 10 290 0 0
16680 1 71 -83 344 0 0
16680 2 120 29 0 0 0
16779 0 -14 10 290 0 0
16779 1 71 -82 351 0 0
16779 2 120 29 0 0 0
16879 0 -15 10 290 0 0
16879 1 71 -81 356 0 0
16879 2 120 29 0 0 0
16979 0 -15 10 290 0 0
16979 1 71 -81 357 0 0
16979 2 120 29 0 0 0
17079 0 -15 10 290 0 0
17079 1 71 -80 357 0 0
17079 2 120 29 0 0 0
17180 0 -16 10 290 0 0
17180 1 71 -79 357 0 0
17180 2 120 29 0 0 0
17279 0 -16 10 290 0 0
17279 1 71 -79 357 0 0
17279 2 120 29 0 0 0
17379 0 -16 10 290 0 0
17379 1 71 -78 357 0 0
17379 2 120 29 0 0 0
17479 0 -17 11 290 0 0
17479 1 70 -77 357 0 0
17479 2 120 29 0 0 0
17579 0 -17 11 290 0 0
17579 1 70 -77 357 0 0
17579 2 120 29 0 0 0
17680 0 -17 11 290 0 0
17680 1 70 -76 357 0 0
17680 2 120 29 0 0 0
17779 0 -17 11 290 0 0
17779 1 70 -75 357 0 0
17779 2 120 29 0 0 0
17879 0 -18 11 290 0 0
17879 1 70 -74 357 0 0
17879 2 120 29 0 0 0
17979 0 -18 11 290 0 0
17979 1 70 -74 357 0 0
17979 2 120 29 0 0 0
18079 0 -18 11 290 0 0
18079 1 70 -73 357 0 0
18079 2 120 29 3 0 0
18180 0 -19 11 290 0 0
18180 1 70 -72 357 0 0
18180 2 120 30 12 0 0
18279 0 -19 12 290 0 0
18279 1 70 -72 357 0 0
18279 2 120 30 22 0 0
18379 0 -19 12 290 0 0
18379 1 70 -71 357 0 0
18379 2 120 31 38 0 0
18479 0 -20 12 290 0 0
18479 1 70 -70 357 0 0
18479 2 120 32 53 0 0
18579 0 -20 12 290 0 0
18579 1 70 -70 357 0 0
18579 2 121 32 68 0 0
18680 0 -20 12 290 0 0
18680 1 70 -69 357 0 0
18680 2 121 32 79 0 0
18779 0 -21 12 290 0 0
18779 1 70 -68 357 0 0
18779 2 122 32 98 0 0
18879 0 -21 12 290 0 0
18879 1 70 -67 357 0 0
18879 2 123 32 113 0 0
18979 0 -21 12 290 0 0
18979 1 70 -67 357 0 0
18979 2 124 32 128 0 0
19079 0 -22 13 290 0 0
19079 1 70 -66 357 0 0
19079 2 124 32 141 0 0
19180 0 -22 13 290 0 0
19180 1 70 -65 357 0 0
19180 2 125 31 148 0 0
19279 0 -22 13 290 0 0
19279 1 70 -65 357 0 0
19279 2 125 31 152 0 0
19379 0 -23 13 290 0 0
19379 1 70 -64 357 0 0
19379 2 125 30 153 0 0
19479 0 -23 13 290 0 0
19479 1 70 -63 357 0 0
19479 2 126 29 156 0 0
19579 0 -23 13 290 0 0
19579 1 70 -63 357 0 0
19579 2 126 29 160 0 0
19680 0 -24 13 290 0 0
19680 1 70 -62 357 0 0
19680 2 126 28 172 0 0
19779 0 -24 13 290 0 0
19779 1 70 -61 357 0 0
19779 2 126 27 198 1 0
19879 0 -24 14 290 0 0
19879 1 70 -60 357 0 0
19879 2 126 26 213 1 0
19979 0 -25 14 290 0 0
19979 1 70 -60 357 0 0
19979 2 126 26 221 1 0
20079 0 -25 14 240 0 0
20079 1 70 -59 357 0 0
20079 2 125 26 232 1 0
20180 0 -25 13 240 0 0
20180 1 70 -58 357 0 0
20180 2 125 25 250 1 0
20279 0 -25 13 240 0 0
20279 1 69 -58 357 0 0
20279 2 124 25 272 1 0
20379 0 -26 13 240 0 0
20379 1 69 -57 357 0 0
20379 2 123 25 280 1 0
20479 0 -26 13 240 0 0
20479 1 69 -56 357 0 0
20479 2 123 25 293 1 0
20579 0 -26 13 240 0 0
20579 1 69 -56 357 0 0
20579 2 122 25 309 1 0
20680 0 -27 13 240 0 0
20680 1 69 -55 357 0 0
20680 2 122 25 321 1 0
20779 0 -27 13 60 0 0
20779 1 69 -54 357 0 0
20779 2 121 26 333 1 -1
20879 0 -26 13 60 0 0
20879 1 69 -53 357 0 0
20879 2 121 27 333 1 -1
20979 0 -26 13 60 0 0
20979 1 69 -53 357 0 0
20979 2 121 27 329 1 -1
21079 0 -26 13 60 0 0
21079 1 69 -52 357 0 0
21079 2 120 28 321 1 -1
21180 0 -25 13 60 0 0
21180 1 69 -51 357 0 0
21180 2 120 28 311 1 -1
21279 0 -25 14 60 0 0
21279 1 69 -51 357 0 0
21279 2 119 29 295 1 -1
21379 0 -25 14 60 0 0
21379 1 69 -50 357 0 0
21379 2 119 29 284 1 -1
21479 0 -24 14 60 0 0
21479 1 69 -49 357 0 0
21479 2 118 29 277 1 -1
21579 0 -24 14 60 0 0
21579 1 69 -49 357 0 0
21579 2 117 30 274 1 -1
21680 0 -24 14 60 0 0
21680 1 69 -48 357 0 0
21680 2 117 30 274 1 -1
21779 0 -23 14 60 0 0
21779 1 69 -47 357 0 0
21779 2 116 30 274 1 -2
21879 0 -23 15 12 0 0
21879 1 69 -46 357 0 0
21879 2 115 30 274 1 -2
21979 0 -23 15 12 0 0
21979 1 69 -46 357 0 0
21979 2 115 30 272 1 -2
22079 0 -23 15 12 0 0
22079 1 69 -45 357 0 0
22079 2 114 30 267 1 -2
22180 0 -23 15 135 0 0
22180 1 69 -44 357 0 0
22180 2 113 30 255 1 -2
22279 0 -23 15 135 0 0
22279 1 69 -44 357 0 0
22279 2 112 30 248 1 -2
22379 0 -23 15 135 0 0
22379 1 69 -43 357 0 0
22379 2 112 29 246 1 -2
22479 0 -23 15 263 0 0
22479 1 69 -42 357 0 0
22479 2 111 29 246 1 -2
22579 0 -23 15 263 0 0
22579 1 69 -42 357 0 0
22579 2 111 29 246 1 -2
22680 0 -23 14 260 0 0
22680 1 69 -41 357 0 0
22680 2 110 28 246 1 -2
22779 0 -23 14 260 0 0
22779 1 69 -40 357 0 0
22779 2 109 28 246 1 -3
22879 0 -24 14 260 0 0
22879 1 69 -40 357 0 0
22879 2 109 28 246 1 -3
22979 0 -24 14 260 0 0
22979 1 69 -39 357 0 0
22979 2 108 28 246 1 -3
23079 0 -24 14 260 0 0
23079 1 68 -38 357 0 0
23079 2 107 27 246 1 -3
23180 0 -25 14 260 0 0
23180 1 68 -37 357 0 0
23180 2 107 27 246 1 -3
23279 0 -24 14 123 0 0
23279 1 68 -37 357 0 0
23279 2 106 27 246 0 -3
23379 0 -24 14 123 0 0
23379 1 68 -36 357 0 0
23379 2 105 27 246 0 -3
23479 0 -24 14 123 0 0
23479 1 68 -35 357 0 0
23479 2 105 26 246 0 -3
23579 0 -23 13 123 0 0
23579 1 68 -35 357 0 0
23579 2 104 26 246 0 -3
23680 0 -23 13 123 0 0
23680 1 68 -34 357 0 0
23680 2 103 26 246 0 -3
23779 0 -23 13 123 0 0
23779 1 68 -33 357 0 0
23779 2 103 25 246 0 -3
23879 0 -23 13 123 0 0
23879 1 68 -32 357 0 0
23879 2 102 25 246 0 -3
23979 0 -22 13 123 0 0
23979 1 68 -32 357 0 0
23979 2 102 25 246 0 -3
24079 0 -22 12 123 0 0
24079 1 68 -31 357 0 0
24079 2 101 25 246 0 -3
24180 0 -22 12 123 0 0
24180 1 68 -30 357 0 0
24180 2 100 24 241 0 -3
24279 0 -21 12 123 0 0
