Time_ms id positions_x positions_z rotation_y is_signaling score
118119 0 -4 -5 196 0 0
118119 1 72 -93 0 0 0
118219 0 -4 -6 196 0 0
118219 1 72 -93 0 0 0
118319 0 -4 -6 196 0 0
118319 1 72 -93 0 0 0
118419 0 -4 -6 196 0 0
118419 1 72 -93 0 0 0
118519 0 -4 -7 196 0 0
118519 1 72 -93 0 0 0
118619 0 -4 -7 196 0 0
118619 1 72 -93 0 0 0
118719 0 -4 -7 196 0 0
118719 1 72 -93 0 0 0
118819 0 -4 -8 196 0 0
118819 1 72 -93 0 0 0
118919 0 -4 -8 196 0 0
118919 1 72 -93 0 0 0
119019 0 -4 -8 196 0 0
119019 1 72 -93 0 0 0
119119 0 -5 -9 196 0 0
119119 1 72 -93 0 0 0
119219 0 -5 -9 196 0 0
119219 1 72 -93 0 0 0
119319 0 -5 -9 196 0 0
119319 1 72 -93 0 0 0
119419 0 -5 -10 196 0 0
119419 1 72 -93 0 0 0
119519 0 -5 -10 196 0 0
119519 1 72 -93 0 0 0
119619 0 -5 -11 196 0 0
119619 1 72 -93 0 0 0
119719 0 -5 -11 196 0 0
119719 1 72 -93 0 0 0
119819 0 -5 -11 196 0 0
119819 1 72 -93 0 0 0
119919 0 -5 -12 196 0 0
119919 1 72 -93 0 0 0
120019 0 -5 -12 196 0 0
120019 1 72 -93 0 0 0
120119 0 -6 -12 196 0 0
120119 1 72 -93 0 0 0
120219 0 -6 -13 196 0 0
120219 1 72 -93 0 0 0
120319 0 -6 -13 196 0 0
120319 1 72 -93 0 0 0
120419 0 -6 -13 196 0 0
120419 1 72 -93 0 0 0
120519 0 -6 -14 196 0 0
120519 1 72 -93 0 0 0
120619 0 -6 -14 196 0 0
120619 1 72 -93 0 0 0
120719 0 -6 -14 196 0 0
120719 1 72 -93 0 0 0
120819 0 -6 -15 196 0 0
120819 1 72 -93 0 0 0
120919 0 -6 -15 196 0 0
120919 1 72 -93 0 0 0
121019 0 -6 -15 196 0 0
121019 1 72 -93 0 0 0
121119 0 -6 -16 196 0 0
121119 1 72 -93 0 0 0
121219 0 -7 -16 196 0 0
121219 1 72 -93 0 0 0
121319 0 -7 -16 196 0 0
121319 1 72 -93 0 0 0
121419 0 -7 -17 196 0 0
121419 1 72 -93 0 0 0
121519 0 -7 -17 196 0 0
121519 1 72 -93 0 0 0
121619 0 -7 -17 23 0 0
121619 1 72 -93 0 0 0
121719 0 -7 -17 23 0 0
121719 1 72 -93 0 0 0
121819 0 -7 -16 23 0 0
121819 1 72 -93 0 0 0
121919 0 -6 -16 23 0 0
121919 1 72 -93 0 0 0
122019 0 -6 -16 23 0 0
122019 1 72 -93 0 0 0
122119 0 -6 -16 130 0 0
122119 1 72 -93 0 0 0
122219 0 -6 -16 130 0 0
122219 1 72 -93 0 0 0
122319 0 -6 -16 130 0 0
122319 1 72 -93 0 0 0
122419 0 -5 -16 130 0 0
122419 1 72 -93 0 0 0
122519 0 -5 -17 130 0 0
122519 1 72 -93 0 0 0
122619 0 -5 -17 322 0 0
122619 1 72 -93 0 0 0
122619 2 120 29 0 0 0
122719 0 -5 -17 159 0 0
122719 1 72 -93 0 0 0
122719 2 120 29 0 0 0
122819 0 -5 -17 159 0 0
122819 1 72 -93 0 0 0
122819 2 120 29 0 0 0
122919 0 -5 -18 159 0 0
122919 1 72 -93 0 0 0
122919 2 120 29 0 0 0
123019 0 -5 -18 78 0 0
123019 1 72 -93 0 0 0
123019 2 120 29 0 0 0
123119 0 -4 -18 94 0 0
123119 1 72 -93 0 0 0
123119 2 120 29 0 0 0
123219 0 -4 -17 66 0 0
123219 1 72 -93 0 0 0
123219 2 120 29 0 0 0
123319 0 -4 -17 66 0 0
123319 1 72 -93 0 0 0
123319 2 120 29 0 0 0
123419 0 -3 -17 66 0 0
123419 1 72 -93 0 0 0
123419 2 120 29 0 0 0
123519 0 -3 -17 66 0 0
123519 1 72 -93 0 0 0
123519 2 120 29 0 0 0
123619 0 -3 -17 84 0 0
123619 1 72 -93 0 0 0
123619 2 120 29 0 0 0
123719 0 -2 -17 84 0 0
123719 1 72 -93 0 0 0
123719 2 120 29 0 0 0
123819 0 -2 -17 84 0 0
123819 1 72 -93 0 0 0
123819 2 120 29 0 0 0
123919 0 -2 -17 84 0 0
123919 1 72 -93 0 0 0
123919 2 120 29 0 0 0
124019 0 -1 -17 84 0 0
124019 1 72 -93 0 0 0
124019 2 120 29 0 0 0
124119 0 -1 -17 84 0 0
124119 1 72 -93 0 0 0
124119 2 120 29 0 0 0
124219 0 -1 -17 84 0 0
124219 1 72 -93 0 0 0
124219 2 120 29 0 0 0
124319 0 0 -17 84 0 0
124319 1 72 -93 0 0 0
124319 2 120 29 0 0 0
124419 0 0 -17 84 0 0
124419 1 72 -93 0 0 0
124419 2 120 29 0 0 0
124519 0 0 -17 84 0 0
124519 1 72 -93 0 0 0
124519 2 120 30 0 0 0
124619 0 0 -17 84 0 0
124619 1 72 -93 0 0 0
124619 2 120 30 0 0 0
124719 0 0 -17 84 0 0
124719 1 72 -93 0 0 0
124719 2 120 30 0 0 0
124819 0 0 -17 84 0 0
124819 1 72 -93 0 0 0
124819 2 120 30 0 0 0
124919 0 1 -17 84 0 0
124919 1 72 -93 0 0 0
124919 2 120 31 0 0 0
125019 0 1 -17 55 0 0
125019 1 72 -93 0 0 0
125019 2 120 31 0 0 0
125119 0 1 -16 55 0 0
125119 1 72 -93 0 0 0
125119 2 120 32 0 0 0
125219 0 2 -16 55 0 0
125219 1 72 -93 0 0 0
125219 2 120 33 0 0 0
125319 0 2 -16 55 0 0
125319 1 72 -93 0 0 0
125319 2 120 33 0 0 0
125419 0 2 -16 55 0 0
125419 1 72 -93 0 0 0
125419 2 120 34 0 0 0
125519 0 3 -16 55 0 0
125519 1 72 -93 0 0 0
125519 2 120 35 4 0 0
125619 0 3 -15 55 0 0
125619 1 72 -93 0 0 0
125619 2 120 35 13 0 0
125719 0 3 -15 55 0 0
125719 1 72 -93 0 0 0
125719 2 120 35 27 0 0
125819 0 3 -15 55 0 0
125819 1 72 -93 0 0 0
125819 2 120 35 41 0 0
125919 0 4 -15 55 0 0
125919 1 72 -93 0 0 0
125919 2 120 35 57 0 0
126019 0 4 -15 55 0 0
126019 1 72 -93 0 0 0
126019 2 120 35 73 0 0
126119 0 4 -14 55 0 0
126119 1 72 -93 0 0 0
126119 2 120 35 87 0 0
126219 0 5 -14 55 0 0
126219 1 72 -93 0 0 0
